Name,birth_year,death_year,religion_name,ceda_name,person_ceda_first_year,person_ceda_last_year
John Beaumont,,,Quaker,APS,1839,1861
Rebecca Beaumont,,,Quaker,APS,1860,1867
William Beaumont,,,Quaker,APS,1860,1868
Samuel Beck,,,Quaker,APS,1861,1867
Deborah Beesley,,,Quaker,APS,1860,1868
Paul Bevan,,,Quaker,APS,1860,1868
Robert Bevan,,,Quaker,APS,1851,1855
Martha A Binyon,,,Quaker,APS,1866,1868
Thomas Binyon,,,Quaker,APS,1851,1861
S Birchall,,,Quaker,APS,1861,1863
Thomas Blain,,,Quaker,APS,1865,1868
J Blunsom,,,Quaker,APS,1861,1866
W Bott,,,Quaker,APS,1862,1863
Christopher Bowley,,,Quaker,APS,1838,1863
W C Bowley,,,Quaker,APS,1860,1863
Edwin Bracher,,,Quaker,APS,1861,1867
James Bracher,,,Quaker,APS,1861,1862
Lucy Bradshaw,,,Quaker,APS,1860,1862
G S Brady,,,Quaker,APS,1861,1862
Joseph B Braithwaite,,,Quaker,APS,1866,1868
Joseph B Braithwaite,,,Quaker,HOD,,
S Braithwaite,,,Quaker,APS,1862,1863
Charles Brewin,,,Quaker,APS,1840,1841
Robert Brewin,,,Quaker,APS,1860,1868
Thomas Brewin,,,Quaker,APS,1860,1868
William Brewin,,,Quaker,APS,1860,1868
Francis Brown,,,Quaker,APS,1861,1868
Gopsill Brown,,,Quaker,APS,1860,1861
W W Brown,,,Quaker,APS,1861,1867
J F Burgess,,,Quaker,APS,1860,1862
Wilson Burgess,,,Quaker,APS,1852,1853
Henry Burlingham,,,Quaker,APS,1861,1868
Jonathan Burtt,,,Quaker,APS,1847,1868
P Burtt,,,Quaker,APS,1861,1862
James Cadbury,,,Quaker,APS,1838,1868
John M Candler,,,Quaker,APS,1839,1868
Edward Carroll,,,Quaker,APS,1865,1866
Edward Carroll,,,Quaker,HOD,,
Joseph Cash,,,Quaker,APS,1863,1868
Newman Cash,,,Quaker,APS,1838,1839
William Cash,,,Quaker,APS,1839,1841
R D Catchpool,,,Quaker,APS,1860,1868
Thomas Catchpool,,,Quaker,APS,1838,1856
Thomas Chalk,,,Quaker,APS,1839,1841
Elizabeth Charelton,,,Quaker,APS,1861,1868
James Charleton,,,Quaker,APS,1839,1840
Robert Charleton,,,Quaker,APS,1856,1868
Richard Christy,,,Quaker,APS,1840,1867
Cyrus Clark,,,Quaker,APS,1861,1862
James Clark (2),,,Quaker,APS,1860,1867
Joseph Clark,,,Quaker,APS,1860,1867
W S Clark,,,Quaker,APS,1861,1867
George Cook,,,Quaker,APS,1866,1867
J H Cotterell,,,Quaker,APS,1862,1863
